OBJECTID,Stratum,Shape_Length,Shape_Area,Area_KM2
1,32,504770.181576648028567,8846729255.661794662475586,8846.729255661794014
2,31,1787922.253399352310225,94978486674.559463500976562,94978.486674559462699
3,42,705307.576304956572130,24122119501.132427215576172,24122.119501132427104
4,10,2405579.204443984664977,78705673538.167358398437500,78705.673538167364313
5,20,1095696.329904916696250,41193222780.603187561035156,41193.222780603187857
6,43,703974.094642119831406,21063671485.074855804443359,21063.671485074853990
7,62,434306.461476785189006,6461505455.648235321044922,6461.505455648235511
8,41,1960875.912585870362818,62310016058.022590637207031,62310.016058022592915
9,90,509017.529672927921638,11539040467.406250000000000,11539.040467406250173
10,82,569506.775075689773075,17953639749.605613708496094,17953.639749605612451
11,50,1189060.055139948846772,38038892837.868202209472656,38038.892837868203060
12,61,2178830.960331024602056,87776923060.195159912109375,87776.923060195156722